year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2024-01,2024,1,Jan,LRT,KJ,LRT Kelana Jaya,6591331,212624,31
2024-01,2024,1,Jan,MRT,KGL,MRT Kajang,6506378,209883,31
2024-01,2024,1,Jan,MRT,PYL,MRT Putrajaya,3651371,117786,31
2024-01,2024,1,Jan,Monorail,MR,KL Monorail,1680097,54197,31
2024-02,2024,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,4430513,152776,29
2024-02,2024,2,Feb,LRT,KJ,LRT Kelana Jaya,6236607,215055,29
2024-02,2024,2,Feb,MRT,KGL,MRT Kajang,6167840,212684,29
2024-02,2024,2,Feb,MRT,PYL,MRT Putrajaya,3364322,116011,29
2024-02,2024,2,Feb,Monorail,MR,KL Monorail,1602411,55256,29
2024-03,2024,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,5196908,167642,31
2024-03,2024,3,Mar,LRT,KJ,LRT Kelana Jaya,6937237,223782,31
2024-03,2024,3,Mar,MRT,KGL,MRT Kajang,6650215,214523,31
2024-03,2024,3,Mar,MRT,PYL,MRT Putrajaya,3746093,120842,31
2024-03,2024,3,Mar,Monorail,MR,KL Monorail,1607756,51863,31
2024-04,2024,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,4894934,163164,30
2024-04,2024,4,Apr,LRT,KJ,LRT Kelana Jaya,6445256,214842,30
2024-04,2024,4,Apr,MRT,KGL,MRT Kajang,6262373,208746,30
2024-04,2024,4,Apr,MRT,PYL,MRT Putrajaya,3575514,119184,30
2024-04,2024,4,Apr,Monorail,MR,KL Monorail,1557086,51903,30
2024-05,2024,5,May,LRT,AG/PH,LRT Ampang/Sri Petaling,5607473,180886,31
2024-05,2024,5,May,LRT,KJ,LRT Kelana Jaya,7206997,232484,31
2024-05,2024,5,May,MRT,KGL,MRT Kajang,7112851,229447,31
2024-05,2024,5,May,MRT,PYL,MRT Putrajaya,4045346,130495,31
2024-05,2024,5,May,Monorail,MR,KL Monorail,1605161,51779,31
2024-06,2024,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,5196642,173221,30
2024-06,2024,6,Jun,LRT,KJ,LRT Kelana Jaya,6555829,218528,30
2024-06,2024,6,Jun,MRT,KGL,MRT Kajang,6723816,224127,30
2024-06,2024,6,Jun,MRT,PYL,MRT Putrajaya,3729030,124301,30
2024-06,2024,6,Jun,Monorail,MR,KL Monorail,1610528,53684,30
2024-07,2024,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,5626609,181504,31
2024-07,2024,7,Jul,LRT,KJ,LRT Kelana Jaya,7559800,243865,31
2024-07,2024,7,Jul,MRT,KGL,MRT Kajang,7471333,241011,31
2024-07,2024,7,Jul,MRT,PYL,MRT Putrajaya,4277136,137972,31
2024-07,2024,7,Jul,Monorail,MR,KL Monorail,1681693,54248,31
2024-08,2024,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,5781159,186489,31
2024-08,2024,8,Aug,LRT,KJ,LRT Kelana Jaya,7596795,245058,31
2024-08,2024,8,Aug,MRT,KGL,MRT Kajang,7515992,242451,31
2024-08,2024,8,Aug,MRT,PYL,MRT Putrajaya,4390005,141613,31
2024-08,2024,8,Aug,Monorail,MR,KL Monorail,1752025,56517,31
2024-09,2024,9,Sep,LRT,AG/PH,LRT Ampang/Sri Petaling,5365130,178838,30
2024-09,2024,9,Sep,LRT,KJ,LRT Kelana Jaya,6900403,230013,30
2024-09,2024,9,Sep,MRT,KGL,MRT Kajang,7035573,234519,30
2024-09,2024,9,Sep,MRT,PYL,MRT Putrajaya,4046549,134885,30
2024-09,2024,9,Sep,Monorail,MR,KL Monorail,1579005,52634,30
2024-10,2024,10,Oct,LRT,AG/PH,LRT Ampang/Sri Petaling,5918334,190914,31
2024-10,2024,10,Oct,LRT,KJ,LRT Kelana Jaya,7724881,249190,31
2024-10,2024,10,Oct,MRT,KGL,MRT Kajang,7720239,249040,31
2024-10,2024,10,Oct,MRT,PYL,MRT Putrajaya,4468723,144152,31
2024-10,2024,10,Oct,Monorail,MR,KL Monorail,1735628,55988,31
2024-11,2024,11,Nov,LRT,AG/PH,LRT Ampang/Sri Petaling,5718327,190611,30
2024-11,2024,11,Nov,LRT,KJ,LRT Kelana Jaya,7437276,247909,30
2024-11,2024,11,Nov,MRT,KGL,MRT Kajang,7499351,249978,30
2024-11,2024,11,Nov,MRT,PYL,MRT Putrajaya,4360372,145346,30
2024-11,2024,11,Nov,Monorail,MR,KL Monorail,1719825,57328,30
2024-12,2024,12,Dec,LRT,AG/PH,LRT Ampang/Sri Petaling,5780943,186482,31
